Genre,Publisher,Rating,Greatest_Sales
Puzzle,Nintendo,E10+,JP
Role-Playing,Bethesda Softworks,M,EU
Simulation,Nintendo,?,JP
Role-Playing,Nintendo,T,JP
Shooter,Electronic Arts,?,NA
Platform,Nintendo,?,JP
Sports,Electronic Arts,E,NA
Sports,Take-Two Interactive,E10+,Other
Sports,Activision,T,NA
Fighting,Namco Bandai Games,T,EU
Role-Playing,Enix Corporation,?,JP
Racing,Sony Computer Entertainment,T,Other
Sports,Konami Digital Entertainment,E,JP
Sports,Sony Computer Entertainment,E10+,NA
Misc,Sony Computer Entertainment,?,NA
Shooter,Activision,M,Other
Action,Nintendo,?,NA
Misc,Nintendo,E,JP
Misc,Nintendo,E,EU
Action,Virgin Interactive,?,JP
Role-Playing,Nintendo,?,JP
Action,Activision,E10+,NA
Simulation,Electronic Arts,T,EU
Platform,Sony Computer Entertainment,?,Other
Action,Electronic Arts,E,EU
Action,Ubisoft,M,EU
Sports,Sega,?,EU
Action,Eidos Interactive,?,JP
Platform,Nintendo,E,JP
Platform,Sony Computer Entertainment,E,EU
Sports,Electronic Arts,E,EU
Strategy,Nintendo,?,JP
Misc,Nintendo,?,JP
Sports,Activision,T,NA
Simulation,Electronic Arts,E,EU
Racing,Take-Two Interactive,E10+,Other
Platform,Nintendo,?,JP
Shooter,Sony Computer Entertainment,M,NA
Platform,Sony Computer Entertainment,E,NA
Simulation,Nintendo,?,JP
Sports,Konami Digital Entertainment,E,Other
Action,Capcom,M,NA
Sports,Electronic Arts,E,EU
Misc,Activision,T,NA
Shooter,Electronic Arts,M,EU
Shooter,LucasArts,T,NA
Shooter,Virgin Interactive,?,NA
Racing,Electronic Arts,T,NA
Action,Nintendo,E,NA
Misc,Ubisoft,E10+,EU
Shooter,LucasArts,T,NA
Simulation,505 Games,E,EU
Fighting,THQ,?,NA
Platform,Fox Interactive,?,EU
Shooter,Activision,M,NA
Action,Ubisoft,M,NA
Action,Take-Two Interactive,M,EU
Action,Sony Computer Entertainment,M,EU
Action,Eidos Interactive,?,EU
Shooter,Electronic Arts,T,NA
Action,Eidos Interactive,?,NA
Action,THQ,?,NA
Sports,Electronic Arts,E,EU
Platform,Sony Computer Entertainment,?,NA
Shooter,Electronic Arts,M,NA
Platform,Nintendo,?,JP
Action,Capcom,M,NA
Action,Nintendo,?,JP
Action,Ubisoft,M,NA
Shooter,Electronic Arts,M,EU
Sports,Electronic Arts,E,EU
Shooter,Electronic Arts,M,NA
Action,Eidos Interactive,T,NA
Shooter,Electronic Arts,M,NA
Shooter,Microsoft Game Studios,M,NA
Sports,Sega,?,EU
Misc,Activision,E10+,NA
Misc,Nintendo,E,JP
Shooter,Take-Two Interactive,M,NA
Role-Playing,Capcom,?,JP
Action,Ubisoft,M,EU
Fighting,Namco Bandai Games,T,EU
Shooter,Electronic Arts,M,NA
Action,Konami Digital Entertainment,M,JP
Role-Playing,SquareSoft,?,JP
Action,Take-Two Interactive,T,EU
Action,Activision,T,NA
Racing,Nintendo,?,JP
Platform,Sony Computer Entertainment,E,NA
Action,Warner Bros. Interactive Entertainment,E10+,NA
Sports,Electronic Arts,E,EU
Misc,Sony Computer Entertainment,E,EU
Shooter,Activision,T,NA
Action,Capcom,?,JP
Role-Playing,Square Enix,T,JP
Fighting,Acclaim Entertainment,?,NA
Action,Nintendo,?,JP
Shooter,Ubisoft,M,Other
Adventure,THQ,?,EU
Role-Playing,Nintendo,?,JP
Misc,Nintendo,?,JP
Shooter,Electronic Arts,T,EU
Platform,Sony Computer Entertainment,?,JP
Action,LucasArts,T,EU
Action,Nintendo,E10+,JP
Shooter,Take-Two Interactive,M,NA
Shooter,Microsoft Game Studios,M,NA
Action,Ubisoft,M,NA
Misc,Microsoft Game Studios,?,NA
Action,Electronic Arts,T,EU
Platform,Nintendo,E,JP
Racing,Sony Computer Entertainment,E,EU
Action,Activision,M,NA
Puzzle,Nintendo,E10+,JP
Sports,Electronic Arts,E,EU
Racing,Sony Computer Entertainment,?,Other
Sports,Electronic Arts,E,NA
Misc,Nintendo,E,JP
